Id,Nota,Tiempo
18,67,1395
71,41,1800
110,26,1240
21,37,1801
27,44,1801
97,57,1707
88,59,1801
65,48,1499
10,17,1801
70,37,1801
22,32,1800
25,44,1801
2,33,2683
87,28,1800
43,21,1815
109,42,1236
36,51,1801
14,29,1800
98,93,1801
3,29,1429
35,32,1778
76,40,1800
16,41,1800
29,53,1729
48,11,1801
113,0,65
72,50,1800
6,52,1522
57,36,1801
101,46,1795
31,54,1584
79,51,1801
69,42,1717
62,54,1677
53,60,1800
60,34,1746
30,41,1801
47,59,1803
64,41,1801
28,28,1801
59,15,1802
58,66,1727
38,40,1801
44,50,1805
39,27,1800
86,19,1801
102,2,1801
23,39,1801
8,50,1444
12,31,1801
84,67,1656
17,66,1592
95,40,1780
112,6,901
4,68,1713
46,63,1802
94,20,1801
49,42,1801
51,10,1800
100,58,1768
67,16,1802
61,56,1800
99,41,1801
82,37,1800
80,36,1801
107,20,1434
15,45,1801
104,25,1800
90,28,1802
41,36,1800
89,37,1801
5,57,1802
56,56,1801
37,45,1806
50,52,1800
78,42,1801
9,43,1810
45,30,1800
42,24,1801
20,43,1788
105,26,1581
81,39,1801
13,19,1801
33,52,1533
83,42,1801
40,38,1801
54,57,1558
74,38,1802
63,46,1844
32,50,1668
106,25,1562
24,42,1801
11,49,1800
55,45,1802
66,41,1801
96,40,1802
93,22,1802
91,57,1786
73,11,1801
34,37,1801
85,37,1803
19,33,1801
75,31,1801
1,84,2678
77,46,1379
52,31,1800
103,53,1800
111,33,1126
68,58,1800
92,45,1801
26,51,1801
7,49,1483
108,36,1354
